"vehicle_id","vehicle_brand","vehicle_model","vehicle_type","manufacturing_year","battery_manufacturer","battery_chemistry","battery_capacity_kwh","drive_type","odometer_km","vehicle_age_years","fleet_or_private","battery_serial","cycle_count","battery_health_percent","state_of_charge","depth_of_discharge","state_of_health","cell_voltage_avg","cell_voltage_std","pack_voltage","cell_temperature_avg","cell_temperature_max","internal_resistance","charge_efficiency","discharge_efficiency","remaining_capacity","capacity_loss_percent","charging_cycles_last_month","fast_charge_ratio","slow_charge_ratio","average_charge_power_kw","average_charging_time","overnight_charging_ratio","home_charging_ratio","charging_interruptions","overcharge_events","average_speed","average_trip_distance","aggressive_acceleration_score","hard_braking_score","regenerative_braking_usage","highway_driving_ratio","city_driving_ratio","daily_distance","average_ambient_temperature","maximum_temperature","minimum_temperature","humidity","altitude","terrain_type","dust_exposure","last_service_days","cooling_system_health","firmware_updates","previous_faults","maintenance_score","thermal_runaway_risk","voltage_imbalance","temperature_variance","sensor_fault_count","bms_warning_count","abnormal_voltage_events","battery_stress_index","aging_score","thermal_health_score","charging_quality_score","driving_stress_score","predicted_remaining_life_cycles","battery_failure"
"EV119070","Honda","e:N1","SUV","2018","Northvolt","NMC","95.21","RWD","186698.1","8.04","Fleet","BAT-10019070","1510","76.76","27.12","69.79","78.64","3.85",,"273.35","34.69","50.21","0.586","95.73",,"73.08",,"1",,"0.43","28","335.04","0.86","0.77","0","0","36.57","138.07","26.35","64.31","58.38","0.24","0.55","103.25","-20.67","-11.11","-36.69","9.91","244.61","Mountainous","20.5","982.2","91.99","12","1","57.67","36.3",,"32.94","0","2","0","62.19","74.12","61.18","95.59",,"6328","0"
"EV108116","BMW","iX1","Hatchback","2016","BYD Battery","NMC","70.55","FWD","230950.7","9.95","Fleet","BAT-10008116","2180","68.04","45.26","47.67","68.04","3.539","0.0063","357.44","23.65","43.23",,"95.32","92.77","48","31.96","22","0.39","0.56","42.21","156.2","0.31","0.32","0","0","97.87","105.15","79.95","70.54","75.77","0.17","0.4","39.98","6.35","21.1","-4.01","27.82","845.62","Coastal","78.16","309.2","85.5","23","0","86.33",,"11.33","32.94","0","3","1","59.5","100","81.83","88.47","42.8","5224","0"
"EV110651","Volvo",,"Crossover","2017","CATL","NMC","128.73","RWD","229143.6","8.9","Private","BAT-10010651","1416","82.89",,"29.26","84.07","3.393","0.0196","349.48","9.48","14.98","0.521","96.9","95.04","106.7","17.11","34","0.07","0.93","91.76","124.96","0.23","0.41","0","0","29.6","66.39","3.35","17.77","88.94","0.61","0.91","74.75","40.26","51.96","32.47","32.28","2280.11","Flat","81.11","531.1","78.69","18","0","71.14","20.65","27.66","0","0","2","0","18.25","77.25","78.08","100","9.43","7950","0"
"EV116241","BYD","BE 6","Truck","2019","BYD Battery",,"87.13","FWD","136326.3","7.3","Fleet","BAT-10016241","1002","68.25","30.54","35.94","69.52","3.465","0.015","291.06","17.27","25.03","0.682","94.28","94.52","59.47",,"3","0.6",,"47.6","148.25","0.48","0.9","0","1","84.91","95.78","98.03","47.75","11.82","0.4","0.32","73.98","17.53","37.18","7.86","23.52","1261.5","Flat","24.88","570.1","83.86","30","5","61.49","13.33","31.16","7.5","1","1","0","51.72","71.03","84.61","83.17","63.77","6284","1"
"EV104547","Volvo","EX30","Hatchback","2016","CATL","NMC","148.53","AWD","144756.8","9.85","Private","BAT-10004547","1508","75.61","79.86","69.52","76.87","3.76","0.0045","360.96","32.4","53.4",,"94.74","94.9","112.3","24.39","26","0.18","0.6","53.07","239.69","0.3","0.68","0","0","87.09","128.15","5.81","17.52","90.83","0.48","0.09","70.06","-4.33","14.05","-11.44","73.84","2585.93","Hilly","35.85","1122.8","86.58","9","1","51.86","32.81","10.47","32.94","0","0","0","60.74","77.51",,"100","16.37","7056","0"
"EV111056","Honda","Prologue","Crossover","2021","Panasonic","LFP","128.03","RWD","102841.2","4.8","Private","BAT-10011056","618","89.56","79.82","54.6","88.87","3.604","0.0232","299.13","9.07","26.65","0.351","97.91","96.87","114.66","10.44","38","0.18","0.78","25.36","465.45","0.55","0.89","1","1","51.22","133.3","42.93","45","17.82","0.74","0.38","56.93","-7.75","10.44","-21.11","18.36","1725.22","Coastal","37.51","225.9","86.37","17","2","77.95","6.99","37.5","32.94","0","2","0","53.53","40.13","92.17","88.29","44.15","9411","0"
"EV100944","BMW","iX1","SUV","2015","Envision AESC","LFP","81.71","AWD","221386.6","11.55","Private","BAT-10000944","1350",,"59.09","54.82","71.88","3.511","0.0201","340.57","33.49","53.08","0.687","94.55","93.36","58.84","27.99","35","0.43","0.39","19.26","302.11","0.29","0.14","0","0","69.35","95.6","43.09","52.1","48.92","0.41","0.01","82.84","45.23","54.73","30.65","15.38","2529.96","Flat","31.45","704.9","77.17","0","1","59.02","45.57","28.67","7.85","0","3","0","50.61","85.78","55.28","84.81","43.77","6193","1"
"EV111574","Audi","e-tron GT","Truck","2016","CATL","LFP","49.63","RWD","255022.4","10.04","Fleet","BAT-10011574","1703","69.44","60.46","46.33","71.89","3.621","0.0045","311.41","11.89","18.48","0.703","95.63","92.36","34.46","30.56","28","0.13","0.7","65.55","74.98","0.53","0.24","0","0","23.47","89.71","6.77","95.37","6.66","0.16","0.19","35.4","21.61","31.8","13.09","15.8","1810.51","Coastal","27.2","623.9","90.73","8","1","67.33","6.28","9.29","0","2","2","0","29.13","90.55","91.02","96.41","38.5","6253","0"
"EV116275","Rivian","R1S","Van","2016","Panasonic","LTO","83.79","FWD","194902.7","9.95","Private","BAT-10016275",,"64.85","58.55","52.67","61.73","3.682","0","298.24","25.32","44.45","0.743","94.12","93.81","54.34","35.15","21","0.54","0.44","71.25","66.95","0.34","0.36","1","1","45.28","130","8.02","93.28","20.75","0.08","0.23","84.45","-7.5","3.37","-26.33","67.68","1219.39","Flat","36.27","469.2","85.25","19","1","77.27","11.18","3.02","32.94","0","0","2",,"93.9","88.24","82.09","50.81","4520","0"
"EV119309",,"EV9","Truck","2017","Northvolt","NMC","47.6","RWD","325662.4","9.08","Fleet","BAT-10019309","2074","72.8","49.07","51.44","72.8","3.401","0.0048","309.49","33.95",,"0.693","94.76","95.39","34.65","27.2","14","0.64","0.23","40.61","116.65","0.03","0.17","0","0","20.78","17.71","16.32","82.71","28.86","0.16","0.44","11.85",,"40.48","6.12","18.53","1457.53","Flat","38.14","701.2","94.96","18","0","66.74","18.58","8.49","26.73","1","2","2","56.79","92.63","82.2","79.24","37.74",,"0"
"EV102973","Mercedes-Benz","EQA","Sedan","2018","LG Energy Solution","LFP","100","RWD","278661.3","8.1","Private","BAT-10002973","1703","83.99","49.66","42.48","84.66","3.628","0.0011","297.5","6.67","16.36","0.363","95.96",,"83.99","16.01",,"0.14","0.74","120.99","52.72","0.05","0.42","2","0","72.19","77","55.11","89.58","55.69","0.41","0.9","101.45","22.25","29.72","7.02","46.13","1945.43","Mountainous","19.08","620.3","93.01","22","1","57.24","7.32","6.08","0","1","2","0","25.24","75.82","92.84","90.73","50.09",,"0"
"EV113606","Porsche","Taycan",,"2015","CATL",,"36.16","AWD","168888.5","10.75","Private","BAT-10013606","1342","77.48","82.75",,"77.53","3.588","0.0049","333.68","38.95","60.75","0.762","95.55","95.32","28.02",,"1","0.69","0.18","25.39","125.56","0.3","0.57","2","0","117.29","38.38","46.4","55.82","64.05","0.03","0","36.52","29.28","46.43","23.72","83.62","694.23","Coastal","80.42","158.1","89.83","24","1","95.24","52.98","8.85","31.47","0","0","0","69.69",,"46.89","68.9","37.02","6187","0"
"EV113880","Porsche","Macan Electric","Sedan","2021","CATL","NCA","26.15","FWD","173383.8","4.82",,"BAT-10013880","1091","81.71","37.28","82.82","82.67","3.485","0.0005","341.53","9.4","25.59","0.296","95.78","95.88","21.37","18.29","39","0.31","0.54","13.48","162.25","0.05","0.69","0","0","42.6","107.32","10.36","59.22","35.35","0.35","0.85","71.5","38.79","58.32","33.64","21.12","918.62","Desert",,"1490.5","69.28","22","3","26.29",,"7.81","0","0","1","2","36.45","52.99","86.04","100","33.8","8453","0"
"EV112229","Audi","Q4 e-tron","Hatchback","2017","LG Energy Solution","LTO","96.28","FWD","262189.5","8.67","Private","BAT-10012229","1983","79.7","5.24","57.68","77.98","3.524","0.0059","359.45","43.61","51.97","0.539","95.22","95.06","76.74","20.3","28","0.33","0.5","20.57","360.75","0.01","0.77","1","0","103.25","105.34","22.89","44.91","51.7","0.87","0.79","127.12","32.38","43.28","16.56","51.43",,"Flat","80.61","814.3","94.79","11","2",,"33.58","14.14","19.59","3","1","0","45.17","86.23","66.11","86.74","29.09","6877","0"
"EV118465","Tata","Nexon EV","Van","2017",,"NCA","41.15","RWD","169791.6","8.73","Private","BAT-10018465","1386",,"19.5","32.18","65.99","3.598","0.005","345.41","24.25",,"0.843","94.89","94.07","26.81","34.86","9","0.53","0.24","47.9","80.33","0.82","0.91","2","0","41.87","11.34","46.38","79.18","67.79","0.31","0.52","6.28","9.95","17.86","4.21","84.16","2195.19","Hilly","77.62","811.5","83.76","16","0","71.96","15.82","9.29","28.75","1","0","4","63.4","78.54","86.14",,"38.46","5228","0"
"EV114923","GM","Chevrolet Bolt","Sedan","2022","LG Energy Solution","LMO","125.06","FWD","208917.9","3.79","Private","BAT-10014923","1490","84.08","38.47","46.01","83.85","3.591","0.0055","316.01","31.07",,"0.387",,"94.94","105.15","15.92","3","0.45","0.55","25.54","246.95","0.18","0.58","2","0","80.66","130.67","25.75","70.51","98.19","0.51","0.61","144.63",,"50.66","35.44","93.54","584.12","Hilly","31.3","853.7","78.83","8","1","52.92","35.64","10.78","7.37","1","0","1","34.34","50.75","69.27","84.26","44.95","9143","0"
"EV110836","BMW","iX1","Truck","2019","Guoxuan","NMC","132.83","FWD","328588.5","6.98","Fleet","BAT-10010836","2073",,"71.66",,"76.2","3.716","0.0042","297.28","27.06","34.04","0.611","96.62","95.17","102.98","22.47","15",,"0.27","70.96","93.75","0.75","0.84","0","0","90.84","69.35","64.33","23.38","42.51","0.06","0.96","52.17","-15.83","4.07","-28.96","65.04","1108.89","Coastal","22.12","287.1","95.84","3","1","76.41","9.42","10.42","32.94","2","0","0","53.99","84.72","90.52","86.87","40.71","6075","0"
"EV119217","Volkswagen","ID.3","Hatchback","2019","Guoxuan","LFP","57.07","RWD","101351.4","7.06",,"BAT-10019217","752","88.76","86.7","54.67","90.36","3.348",,"321.41","24.81","43.87","0.268","97.55",,"50.66","11.24","2","0.58","0.33","55.72","85.8","0.12","0.25","1","4","111.41","62.95","72.31","99.14","70.08","0.6","0.04","29.44","37.96","45.93","22.33","25.46","1485.2",,"94.32","1421.5","90.62","24","1","48.03","9.59","8.03","5.91","0","3","1","56.03","51.34","92.4","63.44","53.81","7946","0"
"EV113201","GM","Cadillac Lyriq",,"2019","CATL","LFP","126.48","RWD","192249.2","6.67","Private","BAT-10013201","1295","80.28","74.7","17.46","81.22","3.746","0.0106","325.9","26.58","47.36","0.564","96.61","94.27","101.54","19.72","5","0.03","0.74","115.85","69.29","0.53","0.66","3","0","102.07","30.42","19.18","57.94","45.94","0.21","0.27","40.96","32.68","37.95","20.49","42.35","1731.96","Hilly","10.47","185.8","92.01","2","2","77.77","22.79","18.73","14.68","0","2","1","27.19","64.22",,"96.05","30.56","8841","0"
"EV118453","Hyundai","Kona Electric","SUV","2024","SK On","LFP","37.28","RWD",,"2.56","Fleet","BAT-10018453","1927","94.23",,"29.56","93.54","3.632","0.0064","297.82",,"35.03","0.244","98.07","96.88","35.13","5.77","2","0.68","0.24","66.04","49.77","0.84","0.89","1","0","27.23","65.01","94.47",,"5.32","0.52",,"85.32","45.37","53.82","28.33","37.29","1409.33","Hilly","82.08","472","79.11","24","2","77.15","8.66","15.43","0","1",,"2","35.92","41.43","95.58","81.3","63.24","11215","0"
"EV104407","Mahindra","XUV400","Van","2021","SK On","NMC","94.96","FWD","115527.2","5.28","Private","BAT-10004407","1258","78.96","52.28","47.69","78.42","3.775","0.0419","305.77","33.98","39.95","0.455","96.21","95.29","74.98","21.04","35","0.41","0.56","35.52",,"0.17","0.45","1","0","76.45","18.38","41.88","25.51","10.94","0.55","0.33","10.56","36.82",,"24.63","48.66","2464.1","Flat","52.37","1366.2","78.51","23","1","45.01","12.19","57.04","3.13","1","1","0","41.12","51.23","87.61","90.03","34.11","8380","0"
"EV105799","Honda","Prologue","Sedan","2023","Guoxuan","LFP","130.58","FWD","253249.2","3.43","Private","BAT-10005799","1946","97.52","70.69","64.23","99.31","3.583","0.0071","275.89","43.48","63.16","0.03","97.7","97.97","127.34","2.48","25","0.76","0.15","36.95","354.94","0.01","0.54","1",,"16.86","109.86","22.08","70.88","50.37","0.19","0.34","100.63","30.22","38.94","25.17","34.63","227.64","Hilly","99.38","291","89.28","29","0","89.9","60.81","10.84","32.94","1","0","1",,"54.79","37.58","75.68","39.97","9110","0"
"EV104095","Tata","Tiago EV","Hatchback","2019","Envision AESC","LFP","79.55","RWD","203605.5","6.78","Private","BAT-10004095","1228","74.31","72.42","44.69","75.01","3.748","0.009","273.6","23.27","30.67","0.69","94.88","94.87","59.11","25.69","10","0.56","0.21","88.42","77.58","0.23","0.88","1","0","110.13","87.37","5.41","98.99","39.46","0.47","0.14","73.71","31.27","50.38","24.52","52.95","1843.84","Desert","60.22","469.9","83.37","12","1",,"3.54","14.73","0","1","0","0","32.38","65.25","95.4",,"41.47","8238","0"
"EV100899","Porsche","Macan Electric","Truck","2015","LG Energy Solution","LFP","37.49","FWD","279649","11.13","Private","BAT-10000899","2450","61.87","99.53","36.89","60.92","3.517","0.0096","316.53","38.34","56.38","0.802","94.03","92.47","23.2","38.13","15","0.3","0.56","61.74","61.84",,"0.02","0","0","113.79","102.83","25.51","79.48","90.22","0.54","0.38","205.3","30.77","43.02","13.36","50.71","2061.39","Hilly","98.51","882.1","86.58","9","0","68.17","39.9","15.89","25.61","3","0","1","53.49","100","64.32","91.34","56.47","5224","0"
"EV100124","Renault","Zoe","Truck","2022","SK On","NMC","83.7","AWD","154558.6","4.04","Private","BAT-10000124","1171","79.89","91","37.76","79.16","3.618","0.0005","350.95","40.23",,"0.509","95.32","96","66.87","20.11","32","0.39","0.52","49.27","149.55","0.93","0.48","2","0","48.44","80.39","81.15","20.73","70.81","0.96","0.7","137.2","2.93","14.88","-0.83","87.97","1829.67","Desert","90.62","887.6","90.66","13","1","62.5","52.95","6.47","32.94",,"1","0","55.19","48.68","48.96","83.06","49.66","7805","0"
"EV107408","Volvo","XC40 Recharge","Crossover","2022","BYD Battery","NCA","70.26","RWD","108801.9","3.99","Private","BAT-10007408","1024","90.8","9.39","68.94","91.79","3.625","0.0111","308.12","35.27","45.34","0.298","97.03","95.1","63.8","9.2","19","0.38","0.47","63.03","56.61","0.72","0.09","0","1","41.87","130.06","31.73","14.47","56.88","0.6","0.23","113.15","40.98","59.34","32.33","83.08","2237.2","Desert",,"849.6","74.63","1","1","65.54","20.98","17.5","4.36","2","0","0","34.76","41.3","81.46","84.63","34.84","9787","0"
"EV108538","Tesla","Model S","Van","2022","Envision AESC","LFP","39.68","AWD","95357.6","3.96","Private","BAT-10008538","850","90.08","68.98","50.79","90.06","3.734","0.0102","369.67","12.84","28.78","0.269","96.13","96.19","35.74","9.92",,"0.72","0.17","37.29","85.24","0.64",,"2","0","54.09",,"23.13","23.56","35.05","0.9","0.34","9.74","-21.68","-4.63","-30.43","5.58","2238.81","Desert","81.84","875.4","88.86","7","1","66.18","3.44","16.1","32.94","0","0","0","54.58","42.42","93.06","71.79",,,"0"
"EV104114","Porsche","Macan Electric","Truck",,"Northvolt","NMC","69.15","RWD","155954.3","8.94","Fleet","BAT-10004114","1353","87.28","62.79","64.57","85.92","3.836","0.003","360.58","28.56","40.07","0.286","96.92","96.54","60.35","12.72","3","0.21","0.59","75.33","48.88","0.7",,"1","0","90.24","139.81","79.71","62.64","52.14",,"0.41","84.45","-5.7","11.59","-19.5","50.04","1570.35","Mountainous",,"1029.8","88.43","20","1","57.92","13.13","7.09","32.94","0","1","2","52.15","67.86","86.45","95.77","50.73","8980","0"
"EV100925","BMW","iX1","Truck","2023","CATL","NMC","77.8","FWD","59826.6","2.88","Private","BAT-10000925","839","90.38","82.02","54.03","90.56","3.695","0.0071","262.34","28.2","35.57","0.191","97.16","97.03","70.32","9.62","8","0.17","0.77","28.49","260.12","0.42","0.35","0","0","15.94",,"52.74","89.51","82.53","0.95","0.06","53.35","21.49","40.84","12.04","89.21","725.46","Hilly",,"275.1","95.65","2","1","80.84","8.08","13.15","14.08","0","2","0","31.46","33.02","89.41","97.98","44.46","8796","0"
"EV116702","Volvo","XC40 Recharge","Hatchback","2021","Northvolt","LFP","100.5","FWD","176807","4.87","Private","BAT-10016702","1806","92.51","43.16","48.21",,"3.54","0.0108","290.28","24.86","46.75","0.396","97.99","97.42","92.97","7.49","24","0.06","0.76","69.84","115.83","0.19","0.77","1","0","107.33","124.49","77.68","10.21","10.78","0.84","0.72","122.73","18.05","23.09","3.5","80.46","1884.88","Mountainous","58.51","818.9","94.02","12","0","78.28","23","16.99","28.7","0",,"0","44.04","49.3","80.02","100","49.51",,"0"
"EV106655",,"Model 3","Truck","2017","SK On","NMC","123.99","RWD","132419.5","8.89","Fleet","BAT-10006655","1182","82.92","63.44","23.49","83.78","3.626","0.0006","351.72","23.06","35.6","0.434","96.29","95.01","102.81","17.08","27","0.37","0.56","41.1","255.44","0.61","0.57","0","0","22.22","24.78","13.11","47.51",,"0.24","0.86","18.37","18.34","29.8","-0.8","98.98","2397.25","Mountainous","33.89","991.8","93.77","27","0","58.61","11.4","3.56","17.26","0","3","0","38.08","67.44","88.42",,,"8170","0"
"EV117731","Audi","Q4 e-tron","Hatchback","2022","Panasonic","NMC","81.15","AWD","114305","4.14","Private","BAT-10017731","642","91.91","43.53","48.94","92.76","3.659","0.0192","362.24","52.28","69.15","0.376","97.28","97.15","74.58","8.09","18","0.24","0.64","10.67","526.78","0.87","0.13","1","0","79.06","68.59","92.44","90.4","10.21",,"0.55","64.92","20.6","31.98","11.45","26.12","2382.79","Mountainous","77.69","1096.2","97.19","11","2","52.71","69.7","30.44","32.94","0","3","2","46.91","33.91","27.56","98.56","56.81","9416","1"
"EV114079","GM","Cadillac Lyriq","Sedan","2024","CATL","LMO","113.83","RWD",,"2.25","Fleet","BAT-10014079","1470","94.49","88.06","43.96","95.02","3.55","0.0167","312.4","36.07","56.98","0.065","97.97","97.11","107.56","5.51","11","0.31","0.64","19.91","357.1","0.8","0.93","1","1","53.17","81.36","47.79","65.57","44.11",,"0.79","37.35","-21.74","-12.18","-38.73","93.92","2590.58","Desert","41.85",,"89.67","3","0","68.92","40.42","22.76","32.94","1","2","1","49.26","36.7","54.72","92.67",,"9001","0"
"EV113332","Kia","EV6","Van","2022","Guoxuan","LMO","72.58","RWD","107801.2","4.63","Private","BAT-10013332","715","87.81","5.66","14.24","87.93","3.51","0.0012","312.39","38.92","58.95","0.441","96.45","94.64",,"12.19","18","0.39","0.51","41.25","103.35","0.79","0.36","1","0","82.96","137.31","36.45","98.06","1.99","0.8","0.48","72.17","27.78","38.6","21.34","78.12","106.26","Hilly","47.58","811.9","95.56","16","2","67.37",,"6.58","31.17","1","0","0","39.21","43.71","53.76","81.17",,"9181","0"
"EV102522","Porsche","Macan Electric","Hatchback",,"Panasonic","NMC","44","FWD","163859.9","9.17","Private","BAT-10002522","1082","80.15","53.04","34.17","81.71","3.744","0.0173",,"30.45","37.98","0.512","95.38","94.71","35.27","19.85","20","0.14","0.77","28.06","76.26","0.41","0.98","3","1","108.04","122.34",,"13.26","32.59","0.84","0.24","119.42","4.08","17.3","-3.38","9.62","595.12",,"49.09","374.6","87.8","16","2","80.5","14.19",,"32.94","0","1","0","56.12","70.13","90.43","85.5","58.23","7616","0"
"EV113622","Audi","Q4 e-tron","Van","2021","CATL","LFP","141.68","FWD","70882.8","4.71","Private","BAT-10013622","788","82.02","42","28.42","83.38","3.584","0.0138","250.88","19.42","26.3",,,"94.23","116.21","17.98","28","0.25","0.62","41.52","244.82","0.74","0.72","1","0","54.85","85.01","15.48","72.13","81.11","0.58","0.1","69.93","-16.18","-7.4","-25.77","18.62","412.14","Desert","39.66","1374.8","91.55","2","1","38.58","6.8","22.14","32.94","1","2","0","44.3","39.38","92.14","92.4","33.31","7559","0"
"EV113442","Hyundai","Ioniq 5","Hatchback","2024","SK On","NMC","35.55","RWD","177602.7","1.98","Fleet","BAT-10013442","1206","90.6","85.59","61.39","91.04","3.56","0.0005","352.44",,"47.14","0.342","97.23","97.54","32.21","9.4","23","0.09","0.89","27.03","96.42","0.82","0.32","2","2","45.46","34.27","13.71","41.82","6.74","0.74","0.97","25.96","-23.7","-15.19","-38.97","62.52","1854.18","Coastal","20.06","843.7","91.3","24","1","61.13","25.56","3.59","32.94","1","2","1","55.57","31.05","72.41","78.39","29.05","9291","0"
"EV119054","BYD","BE 6","Crossover","2021","CATL","NMC",,"AWD","99242.1","5.02","Private","BAT-10019054","877","85.21","60.16","22.89","84.62","3.833","0.0156","375.63","24.07","32.05","0.38","97.22","94.29","123.18","14.79","4","0.15","0.82","35.73","222.24","0.55","0.29","0","1","31.39","89.24","53.15","91.92","27.98","0.21","0.76","90.32","26.35","41.46","20.76","89.78","2413","Desert","93.7","545.9","91.79","11","2","76.68","14.08","28.17","5.7","2","2","1","28.25","47.4","84.97","100","48.87","9548","0"
"EV106587","Volkswagen","ID.3","Crossover","2022","Guoxuan","NMC","138.55","FWD",,"4.7","Private","BAT-10006587","1311","91.36","37","52.56","92.66","3.506",,"357.61","26.04","44.1","0.313","97.7","95.72","126.58","8.64","11","0.26","0.54","50.15","230.1","0.55","0.73","1","0",,"86.34",,"68.06",,"0.35","0.08","100.08","-16.06","-10.23","-32.02","78.33","2223.46","Desert","88.97","1321.3","97.79","22","1","41.45","12.38","15.28","32.94","0","3","0","47","46.34",,"92.88","40.91","9810","0"
"EV119991","BYD","Atto 3","Truck","2017","SK On","NMC","86.72","AWD",,"8.93","Fleet","BAT-10019991","1537","78.92","74.88","57.63","80.21","3.433","0.0107","343.3","17.4","34.57","0.387","96.25","94.39","68.44","21.08",,"0.28","0.47","60.48","74.44","0.18","0.3","0","0","76.16",,"1.53","2.8","75.89","0.59","0.13","23.41","44.87","63.25","29.95","58.58","977.44","Mountainous","31.87","1398.9","63.91","4","1","41.08","14.86","19.6","0","1","0","1","29.61","69.32","83.06","93.61","10.71","7581","0"
"EV104558","Renault","Zoe","SUV","2023","Panasonic","NMC","130.14","AWD","216190.7","2.77","Private","BAT-10004558","1556","83.52","39.09","37.27","83.68","3.511","0.0043","333.54","37.98","54.7","0.341","96.84","95.62","108.69","16.48","26","0.29","0.65","42.11","313.94","0.64","0.72","1","1","40.74","120.6","17.83","38.54","30.1","0.97","0.34","93.77","30.07","41.55","15.05","38.15","1665.69","Flat","18.87","531.2","85.19","5","0","79.21","39.18","8.83","24.63","2","1","1","48.74","48.86","58.14","88.9","33.52","7849","0"
"EV116789","Nissan","Ariya","Sedan","2021","LG Energy Solution","NMC","114.07","RWD","137696.2","4.68","Private","BAT-10016789","982","84.77","81.37","41.59","84.26","3.456","0.0099","304.13","21.89","37.84","0.374","96.91","97","96.7","15.23","20","0.25","0.53","21.67","423.98","0.13",,"0","0","88.11","15.06","63.8","22.47","89.63","0.58","0.83","13.9","28.02","35.39","13.3","83.9","2619.69","Mountainous","91.16","1215.2","93.09","1","0","39.55",,"14.88","9.82","0","1","0","33.93","47.33","100","96.46","26.95","9195","0"
"EV116788",,"EQE","Van","2017","BYD Battery","NCA","36.38","RWD","92843.3","9.64","Private","BAT-10016788","1308","76.05","76.05","67.75","74.55","3.73","0.0042","373","42.01","62.44","0.637","94.75","95.23","27.67","23.95","16","0.13","0.84","66.14","55.61","0.4","0.78","1","1","12.06","67.36","66.59","98.28","97.12","0.96","0.42","43.06","27.4","37.25","9.02","60.42","202.45","Hilly","27.14","1087.7",,"25","0","58.74","54.58","6.66","32.94","3","0","0","58.18","79.15","41.93","91.34","51.48","6519","0"
"EV108591","Volkswagen","ID.4","SUV","2019","Panasonic","LTO","92.28","AWD","165509.3","7.34","Fleet","BAT-10008591","1337",,"94.88","20.36","77.24","3.721","0.0061","290.24","35.72","45.95","0.643",,"95.31","71.64","22.37","21","0.65","0.24","23.7","313.93","0.69","0.15","1","0","47.4","108.39","5.15","85.26","25.07","0.24","0.07","99.66","31.05",,"19.25","25.88","280.11","Hilly",,"1132.3","91.76","7","3","40.17","29.96","14.2","14.9","1","1","0","35.46","65.68","70.27","79.18","36.44","7671","0"
"EV116260","BMW","iX","Van","2019","Envision AESC","NMC","53.21","FWD","134440.5","6.8","Private","BAT-10016260","823","80.19","67.2","42.99","81.79","3.692",,"265.82","28.82","38.37","0.354","95.98","95.94","42.67","19.81","14","0.43","0.51","38.74","88.21","0.53","0.33","0","1","108.44","58.98",,"77","80.67","0.29","0.58","43.93","16.61","34.05","10.85","96.67","1475.94","Desert","39.41","920.2","84.89","30","1","69.51","10.85","22.34","21.76","1","2","2","39.85","56.8",,"83.14","34.56","8127","0"
"EV118418","Nissan","Ariya","Crossover","2021","Envision AESC","NMC","143.17","AWD","176124.1","5.64","Private","BAT-10018418","1487","77.66","17.89","44.6","79.57","3.562","0.0134","309.89","42.36","55.33","0.534","95.44","94.34","111.19","22.34",,"0.25","0.6","35.79","391.97","0.78","0.48","1","1","84.54","103.36","31.35","36.29","36.56","0.99","0.63","120.36","24.23","32.16","19.61","59.84","1271.84","Mountainous","17.75","1347.8","84.34","26","1","47.64","45.01",,"31.1","0","1","1","53.11","63.16","58.66","85.66","43.99","7284","0"
"EV101913","Hyundai","Kona Electric","Hatchback","2018","Envision AESC","LFP","148.19","RWD","134524","8.12","Private","BAT-10001913","1202",,"73.22","50.52","79.85","3.537","0.0097","290.03","18.67","25.9","0.453","95.51","94.37","115.77","21.88","36","0.04","0.93","50.67","178.37","0.84","0.03","0","2","101.08","13.24","37.35","96.94","91.32","0.61","0.39","7.58","19.52","38.96","6.97","65.19","2178.97","Coastal","94.62","228.4","87.07","27","1","88.94","12.24","15.87","6.38",,"0","0","44.4","73.21",,"92.86","33.43","6841","0"
"EV110365","Audi","e-tron GT","Van","2022","Panasonic","LMO","75.13","AWD","229860.6","3.97","Private","BAT-10010365","1705","89.41","15.64","45.09","89.83","3.283","0.0085","318.45","36.18",,"0.362","96.94","96.77","67.17","10.59","28","0.75",,"36.25","142.62","0.27","0.39","1","0","35.21","126.25","63.09","2.33","43.23","0.39","0.71","185.08","33.53","43.58","29.09","69.25","2235.71","Mountainous","61.33","505.9","90.1","8","1","74.8","10.32","15.28","8.49","0","1","2","43.27","56.17","91.01","71.29","45.64","8824","0"
"EV101750","Rivian","R1S","Crossover","2017","BYD Battery","LFP","117.56","AWD","203902","9.63","Private","BAT-10001750","1469","82.03","3.26","47.86","83.05","3.707","0.0022","274.32","29.65","38.9","0.56","96.24","95.31","96.43","17.97","27","0.35","0.56","42.35","281.66","0.84","0.31","0","0","68.91","79.62","87.86","62.44","53.08","0.16","0.28","33.65","39.69","51.01","32.47","31.67","1193.26","Flat","64.49","670.1","88.52","13","0","63.9","7.02","6.3","0","0","1","1","38.98","77.01","88.05","92.89","45.37","7807","0"
"EV119864","BMW","iX","Sedan","2016","CATL","LTO","70.19","FWD","283813.8","9.77","Fleet","BAT-10019864",,"85.01","32.86","60.05","86.52","3.588","0.0016","251.16","26.33","45.13","0.231","97.14","95.19","59.67","14.99","7","0.53","0.41","20.34","344.09","0.52",,"1","0","49.97","57.09","69.02","66.09","31.13","0.18","0.28","65.26","43.39","49.46","23.78","28.53","1911.13","Hilly","44.86","476.3","89.52","2","0","79.68","15.88","3.09","1.74","0","0",,"36.99","84.25","86.51","82.4","51.84","7398","0"
